Teilenummer;Bezeichnung;Kategorie;HK;VK
2001;CNC-Spindel;Antrieb;420;680
2002;Wellenkupplung;Antrieb;120;210
2003;Naeherungssensor;Sensorik;45;95
2004;Servo-Regler;Steuerung;390;540
2005;Montageplatte;Mechanik;85;170
2006;Kabelsatz;Elektrik;35;70
2007;Drucksensor;Sensorik;130;240
2008;SPS-CPU;Steuerung;510;790
2009;Klemmenblock;Elektrik;22;55
2010;Zahnriemen;Antrieb;60;140
2011;Hubzylinder;Pneumatik;210;380
2012;Linearfuehrung;Mechanik;280;520
2013;Ventilinsel;Pneumatik;260;460
2014;Schaltschrank;Elektrik;300;490
2015;Pneumatikmodul;Pneumatik;350;560
2016;Induktionsschalter;Sensorik;28;68
2017;Lagerbock;Mechanik;75;160
2018;Riemenscheibe;Antrieb;95;190
2019;Schutzgitter;Sicherheit;140;260
2020;Industrie-PC;Elektronik;620;980
2021;Terminalblock;Elektrik;18;45
2022;Niveauschalter;Sensorik;80;150
2023;Getriebemotor;Antrieb;290;480
2024;Vision-Kamera;Sensorik;480;730
2025;Drehdurchfuehrung;Pneumatik;170;320
2026;Schaltnetzteil;Elektronik;160;300
2027;Leitungsschutzschalter;Elektrik;32;85
2028;Rollenfoerderer;Mechanik;240;430
2029;Schweisstransformator;Energie;450;690
2030;Not-Aus-Taster;Sicherheit;42;110
2031;Kraftsensor;Sensorik;150;290
2032;Greifbacke;Automation;110;220
2033;Roboter-Greifer;Automation;370;610
2034;Kugelumlaufspindel;Mechanik;260;470
2035;Wartungseinheit;Pneumatik;190;340
2036;Kabelkanal;Elektrik;25;60
2037;Bedienpanel;Steuerung;330;500
2038;Kuehlaggregat;Versorgung;410;650
2039;Druckminderventil;Pneumatik;75;160
2040;Encoder;Sensorik;135;260
2041;Tragrahmen;Mechanik;220;410
2042;Frequenzumrichter;Antrieb;430;670
2043;Sicherungshalter;Elektrik;14;38
2044;Relaiskarte;Steuerung;95;190
2045;Hubtisch;Mechanik;310;500
2046;Lichttaster;Sensorik;40;88
2047;Sicherheits-Laserscanner;Sicherheit;520;840
2048;Drosselventil;Pneumatik;65;140
2049;Steckverbinder;Elektrik;20;48
2050;Signalhupe;Sicherheit;30;72
